name,size,price,currency
Sprite,33cl,4.50,EUR
Fuze Tea,33cl,4.50,EUR
Finley Tonic,33cl,4.50,EUR
Diabolo,33cl,4.50,EUR
Orangina,25cl,4.50,EUR
Coca,33cl,4.50,EUR
Coca Zéro,33cl,4.50,EUR
Coca Cherry,33cl,4.50,EUR
Oasis tropical,33cl,4.50,EUR
Schweppes agrumes,33cl,4.50,EUR
La French Gingerbeer,33cl,5.00,EUR
Redbull,25cl,5.50,EUR
Redbull Red,25cl,5.50,EUR
"Jus de Fruits (Pomme, Orange, ACE, Abricot, Ananas, Tomate, Multifruits)",,4.50,EUR
Cristaline,50cl,3.00,EUR
Badoit Rouge,33cl,4.50,EUR
Badoit Verte,1L,7.00,EUR
Evian,1L,7.00,EUR
Café expresso,,2.50,EUR
Café allongé,,2.50,EUR
Décaféiné,,2.50,EUR
Thé/Infusion,,4.50,EUR
Chocolat chaud,,4.50,EUR
LA CRISTAL GLACE,25cl,4.50,EUR
LA CRISTAL GLACE,50cl,8.50,EUR
LA CRISTAL GLACE,150cl,24.50,EUR
LA BLANCHE,25cl,4.80,EUR
LA BLANCHE,50cl,9.50,EUR
LA BLANCHE,150cl,27.50,EUR
LA ROUSSE,25cl,5.00,EUR
LA ROUSSE,50cl,10.00,EUR
LA ROUSSE,150cl,29.00,EUR
LA IPA,25cl,4.80,EUR
LA IPA,50cl,9.50,EUR
LA IPA,150cl,27.50,EUR
LA VERTE,25cl,5.00,EUR
LA VERTE,50cl,10.00,EUR
LA VERTE,150cl,29.00,EUR
LA CHOUFFE BLONDE,25cl,5.00,EUR
LA CHOUFFE BLONDE,50cl,10.00,EUR
LA CHOUFFE BLONDE,150cl,29.00,EUR
LA CHOUFFE CHERRY,25cl,5.00,EUR
LA CHOUFFE CHERRY,50cl,10.00,EUR
LA CHOUFFE CHERRY,150cl,29.00,EUR
LA KASTEEL TROPICAL,25cl,5.00,EUR
LA KASTEEL TROPICAL,50cl,10.00,EUR
LA KASTEEL TROPICAL,150cl,29.00,EUR
"AMER SAPIN, MYRTILLE OU PICON",3cl,1.00,EUR
"AMER SAPIN, MYRTILLE OU PICON",6cl,2.00,EUR
"AMER SAPIN, MYRTILLE OU PICON",18cl,6.00,EUR
Breakfast Stout,,8.00,EUR
NEIPA,,8.00,EUR
DESPERADOS,,7.50,EUR
CORONA EXTRA,,7.50,EUR
CIDRE LA MORDUE,,7.50,EUR
CIDRE LA MORDUE IPA,,7.50,EUR
CHOUFFE SANS ALCOOL,,7.00,EUR
Bordeaux Graves - La Quille,12cl,7.00,EUR
Bordeaux Graves - La Quille,75cl,34.00,EUR
Pic Saint-Loup - Tour du Roc,75cl,40.00,EUR
Côtes du Rhône - Domaine Aubert,75cl,29.00,EUR
Bordeaux - Château Bois Noir,75cl,29.00,EUR
Grand Ardèche - Louis Latour,12cl,8.00,EUR
Grand Ardèche - Louis Latour,75cl,39.00,EUR
"Savoie - Chardonnay Grande Combe, Francis Masson",12cl,6.00,EUR
"Savoie - Chardonnay Grande Combe, Francis Masson",75cl,29.00,EUR
"Savoie - Domaine Saint-Romain, Sous la Roche",75cl,34.00,EUR
Côtes de Gascogne - Ôde à la joie Demi-sec,12cl,7.00,EUR
Côtes de Gascogne - Ôde à la joie Demi-sec,75cl,34.00,EUR
Besserat de Bellefon Bleu Brut,10cl,13.00,EUR
Besserat de Bellefon Bleu Brut,75cl,72.00,EUR
Besserat de Bellefon Blanc de Blancs,75cl,105.00,EUR
Besserat de Bellefon Rosé,75cl,105.00,EUR
Ruinart Blanc de Blancs,75cl,190.00,EUR
Ruinart Rosé,75cl,190.00,EUR
Moose Mule,,9.00,EUR
Aperol Spritz,,10.00,EUR
Negroni,,10.00,EUR
Amaretto Sour,,11.00,EUR
Whiskey Sour,,11.00,EUR
Mojito,,11.00,EUR
Daiquiri,,11.00,EUR
Margarita,,11.00,EUR
Piña Colada,,11.00,EUR
Leblon Caïpirinha,,11.00,EUR
Ti punch,,11.00,EUR
Tequila Sunrise,,11.00,EUR
Sex on the pistes,,11.00,EUR
Moscow Mule,,11.00,EUR
Mezcal Negroni,,11.00,EUR
Lynchburg Lemonade,,12.00,EUR
Gin Fizz,,12.00,EUR
Cuban Mule,,12.00,EUR
London Mule,,12.00,EUR
St Germain Spritz,,12.00,EUR
Bloody Mary,,13.00,EUR
Mai Taï,,13.00,EUR
Long Island Iced Tea,,13.00,EUR
Hugo Spritz,,13.00,EUR
Espresso Martini,,13.00,EUR
"Mojito Fraise, framboise ou passion",,13.00,EUR
Italicus maracuja Spritz,,13.00,EUR
Chartreuse Mule,,16.00,EUR
Fruit Punch,,8.00,EUR
Virgin Mojito,,8.00,EUR
Virgin Piña Colada,,8.00,EUR
Martini vibrante tonic,,8.00,EUR
Martini Vibrante Spritz,,8.00,EUR
Martini floreale mule,,8.00,EUR
Ceder's tonic (Gin sans alcool),4 cl,8.00,EUR
Virgin London Mule (Gin sans alcool),6 cl,10.00,EUR
Whisky William Lawson,,9.00,EUR
Vodka Eristoff,,9.00,EUR
Tequila Cazadores,,9.00,EUR
Gin Bombay Sapphire,,9.00,EUR
Captain Morgan,,9.00,EUR
Bacardi Carta Blanca,,9.00,EUR
Cognac VS,,9.00,EUR
Get27,,9.00,EUR
Get31,,9.00,EUR
Génépi,,9.00,EUR
DOS MADERAS 5+5,4 cl,15.00,EUR
Hechicera,4 cl,13.00,EUR
Dictador 20 ans,4 cl,19.00,EUR
Eminente,4 cl,13.00,EUR
Matusalem 15 ans,4 cl,15.00,EUR
Plantation Fiji 2004,4 cl,20.00,EUR
Zacapa 23,4 cl,14.00,EUR
Zacapa XO,4 cl,19.00,EUR
Zacapa Royal,4 cl,27.00,EUR
El Dorado 15 ans,4 cl,14.00,EUR
El Dorado 21 ans,4 cl,22.00,EUR
Canerock,4 cl,12.00,EUR
Neisson,4 cl,12.00,EUR
J.M V.S.O.P,4 cl,15.00,EUR
Bumbu XO,4 cl,14.00,EUR
Bacardi Carta Oro,4 cl,10.00,EUR
Bacardi Añejo 4,4 cl,11.00,EUR
Bacardi Reserva 8,4 cl,13.00,EUR
Facundo Eximo,4 cl,17.00,EUR
Santa Teresa 1796,4 cl,14.00,EUR
Southern Comfort,4 cl,10.00,EUR
Haig Club,4 cl,10.00,EUR
Jack Daniel's,4 cl,10.00,EUR
Glen Grant 12 ans,4 cl,12.00,EUR
Oban 14 ans,4 cl,14.00,EUR
Miyagikyo Single Malt,4 cl,14.00,EUR
Talikser 10 ans,4 cl,14.00,EUR
Lagavulin 8 ans,4 cl,14.00,EUR
Caol Ila 12 ans,4 cl,15.00,EUR
Lagavulin 16 ans,4 cl,16.00,EUR
Port Charlotte 10 ans,4 cl,16.00,EUR
Ballantines 17 ans,4 cl,18.00,EUR
Nikka Tailored,4 cl,19.00,EUR
Aberlour 18 ans,4 cl,22.00,EUR
Bunnahabhain 18 ans,4 cl,30.00,EUR
Ballantines 30 ans,4 cl,34.00,EUR
Blue Denim,4 cl,14.00,EUR
Bombay Sapphire,4 cl,9.00,EUR
Bombay Lemon,4 cl,11.00,EUR
Bombay Bramble,4 cl,11.00,EUR
Blossom Peach,4 cl,12.00,EUR
4810 du Mont-Blanc,4 cl,12.00,EUR
Hendricks,4 cl,12.00,EUR
Monkey 47 Sloe,4 cl,12.00,EUR
Monkey 47,4 cl,14.00,EUR
Nginious! Vermouth Cask Finished,4 cl,26.00,EUR
Cazadores Blanco,4 cl,9.00,EUR
Patrón Silver,4 cl,12.00,EUR
Patrón XO Café,4 cl,12.00,EUR
Patrón Reposado,4 cl,15.00,EUR
Patrón Añejo,4 cl,15.50,EUR
Mezcal Montelobos,4 cl,11.00,EUR
ALCOOLS CLASSIQUES,Shot,4.50,EUR
ALCOOLS CLASSIQUES,Mètre,40.00,EUR
SHOTS RHUM ARRANGÉ,Shot,4.00,EUR
SHOTS RHUM ARRANGÉ,Mètre,36.00,EUR
COCKTAILS SHOTS,Shot,5.00,EUR
COCKTAILS SHOTS,Mètre,45.00,EUR
"Madeleine, Kamikaze, Rhum Bazar",Shot,5.50,EUR
"Madeleine, Kamikaze, Rhum Bazar",Mètre,50.00,EUR
MOOSEBOMB,Shot,5.00,EUR
MOOSEBOMB,Mètre,45.00,EUR
JÄGERBOMB,Shot,8.00,EUR
JÄGERBOMB,Mètre,72.00,EUR
B52,Shot,7.00,EUR
B52,Mètre,63.00,EUR
SHOTS: T'ES PAS PRÊT,Shot,6.00,EUR
SHOTS: T'ES PAS PRÊT,Mètre,54.00,EUR
PLANTERAY RUM O.F.T.D 69% / ABSINTHE 68%,Shot,6.00,EUR
PLANTERAY RUM O.F.T.D 69% / ABSINTHE 68%,Mètre,54.00,EUR
TEQUILA CAZADORES 100% AGAVE BLEU,Shot,5.00,EUR
TEQUILA CAZADORES 100% AGAVE BLEU,Mètre,45.00,EUR
TEQUILA PATRON ANEJO / REPOSADO,Shot,9.00,EUR
TEQUILA PATRON ANEJO / REPOSADO,Mètre,81.00,EUR
TEQUILA PATRON XO CAFE / PATRON SILVER,Shot,6.00,EUR
TEQUILA PATRON XO CAFE / PATRON SILVER,Mètre,54.00,EUR
